0.00000, 0.00289, 0.36750, 0.00000, 0.00000, -0.00000, 0.00003, 37.13664, -0.00000, 0.00000
0.02000, 0.01024, 1.54925, 0.00018, 0.01800, -0.00000, 0.00012, 37.13664, -0.00000, 0.00000
0.04000, 0.06486, 4.93025, 0.00072, 0.03600, -0.00000, 0.00026, 37.13664, -0.00000, 0.00000
0.06000, 0.20745, 4.02975, 0.00162, 0.05400, -0.00001, 0.00084, 37.13664, -0.00000, 0.00000
0.08000, 0.22605, -0.43525, 0.00288, 0.07200, -0.00001, 0.00153, 37.13664, -0.00000, 0.00000
0.10000, 0.19004, -0.02700, 0.00450, 0.09000, -0.00002, 0.00204, 37.13664, -0.00000, 0.00000
0.12000, 0.22497, 3.04325, 0.00648, 0.10800, -0.00003, 0.00338, 37.13664, -0.00000, 0.00000
0.14000, 0.31177, 3.20325, 0.00882, 0.12600, -0.00004, 0.00526, 37.13664, -0.00000, 0.00000
0.16000, 0.35310, 1.78725, 0.01152, 0.14400, -0.00005, 0.00696, 37.13664, -0.00000, 0.00000
0.18000, 0.38326, 1.07450, 0.01458, 0.16200, -0.00007, 0.00947, 37.13664, -0.00000, 0.00000
0.20000, 0.39608, 0.94950, 0.01800, 0.18000, -0.00008, 0.01147, 37.13664, -0.00000, 0.00000
0.22000, 0.42124, 1.07250, 0.02178, 0.19800, -0.00009, 0.01517, 37.13664, -0.00000, 0.00000
0.24000, 0.43898, 1.96900, 0.02592, 0.21600, -0.00010, 0.01740, 37.13664, -0.00000, 0.00000
0.26000, 0.50000, 2.78350, 0.03042, 0.23400, -0.00012, 0.02208, 37.13664, -0.00000, 0.00000
0.28000, 0.55032, 3.69175, 0.03528, 0.25200, -0.00013, 0.02555, 37.13664, -0.00000, 0.00000
0.30000, 0.64767, 5.03350, 0.04050, 0.27000, -0.00014, 0.03073, 37.13664, -0.00000, 0.00000
0.32000, 0.75166, 3.57050, 0.04608, 0.28800, -0.00013, 0.03648, 37.13664, -0.00000, 0.00000
